timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
820322517,inf,1,0,0,0,0
821337596,inf,1,0,0,0,0
822338612,inf,1,0,0,0,0
823358509,inf,1,0,0,0,0
824371631,inf,1,0,0,0,0
825387589,inf,1,0,0,0,0
826401643,inf,1,0,0,0,0
827413670,inf,1,0,0,0,0
828421590,inf,1,0,0,0,0
829424582,inf,1,0,0,0,0
830439865,inf,1,0,0,0,0
831441568,inf,1,0,0,0,0
832452570,inf,1,0,0,0,0
833452951,inf,1,0,0,0,0
834472564,inf,1,0,0,0,0
835488572,inf,1,0,0,0,0
836505601,inf,1,0,0,0,0
837521591,inf,1,0,0,0,0
838534562,inf,1,0,0,0,0
839549578,inf,1,0,0,0,0
840552580,inf,1,0,0,0,0
841566038,inf,1,0,0,0,0
842577579,inf,1,0,0,0,0
843591337,inf,1,0,0,0,0
844609860,inf,1,0,0,0,0
845624569,inf,1,0,0,0,0
846637597,inf,1,0,0,0,0
847652334,inf,1,0,0,0,0
848662028,inf,1,0,0,0,0
849675526,inf,1,0,0,0,0
850692580,inf,1,0,0,0,0
851713604,inf,1,0,0,0,0
852731580,inf,1,0,0,0,0
853750509,inf,1,0,0,0,0
854763572,inf,1,0,0,0,0
855783215,inf,1,0,0,0,0
856796570,inf,1,0,0,0,0
857797760,inf,1,0,0,0,0
858810517,inf,1,0,0,0,0
859828185,inf,1,0,0,0,0
860842564,inf,1,0,0,0,0
861860559,inf,1,0,0,0,0
862873594,inf,1,0,0,0,0
863889648,inf,1,0,0,0,0
864907576,inf,1,0,0,0,0
865925857,inf,1,0,0,0,0
866940088,inf,1,0,0,0,0
867951598,inf,1,0,0,0,0
868967032,inf,1,0,0,0,0
869984566,inf,1,0,0,0,0
871000568,inf,1,0,0,0,0
872015568,inf,1,0,0,0,0
873031632,inf,1,0,0,0,0
874045798,inf,1,0,0,0,0
875064564,inf,1,0,0,0,0
876076563,inf,1,0,0,0,0
877096574,inf,1,0,0,0,0
878106856,inf,1,0,0,0,0
879124197,inf,1,0,0,0,0
880139572,inf,1,0,0,0,0
881142514,inf,1,0,0,0,0
882157580,inf,1,0,0,0,0
883172100,inf,1,0,0,0,0
884185590,inf,1,0,0,0,0
885201578,inf,1,0,0,0,0
886219637,inf,1,0,0,0,0
887233606,inf,1,0,0,0,0
888247587,inf,1,0,0,0,0
889266568,inf,1,0,0,0,0
890281590,inf,1,0,0,0,0
891300179,inf,1,0,0,0,0
892317591,inf,1,0,0,0,0
893331575,inf,1,0,0,0,0
894348612,inf,1,0,0,0,0
895351574,inf,1,0,0,0,0
896361621,inf,1,0,0,0,0
897377599,inf,1,0,0,0,0
898395580,inf,1,0,0,0,0
899408787,inf,1,0,0,0,0
900409789,inf,1,0,0,0,0
901428627,inf,1,0,0,0,0
902440580,inf,1,0,0,0,0
903453856,inf,1,0,0,0,0
904469778,inf,1,0,0,0,0
905482510,inf,1,0,0,0,0
906492212,inf,1,0,0,0,0
907507576,inf,1,0,0,0,0
908524565,inf,1,0,0,0,0
909541851,inf,1,0,0,0,0
910557437,inf,1,0,0,0,0
911563367,inf,1,0,0,0,0
912583583,inf,1,0,0,0,0
913597146,inf,1,0,0,0,0
914608561,inf,1,0,0,0,0
915623848,inf,1,0,0,0,0
916644212,inf,1,0,0,0,0
917661590,inf,1,0,0,0,0
918678608,inf,1,0,0,0,0
919695395,inf,1,0,0,0,0
920706981,inf,1,0,0,0,0
921720560,inf,1,0,0,0,0
922733842,inf,1,0,0,0,0
923751619,inf,1,0,0,0,0
924770509,inf,1,0,0,0,0
925786567,inf,1,0,0,0,0
926800559,inf,1,0,0,0,0
927816552,inf,1,0,0,0,0
928835578,inf,1,0,0,0,0
929850515,inf,1,0,0,0,0
930864653,inf,1,0,0,0,0
931880615,inf,1,0,0,0,0
932897842,inf,1,0,0,0,0
933907569,inf,1,0,0,0,0
934920640,inf,1,0,0,0,0
935939648,inf,1,0,0,0,0
936954510,inf,1,0,0,0,0
937971571,inf,1,0,0,0,0
938987589,inf,1,0,0,0,0
940000564,inf,1,0,0,0,0
941010640,inf,1,0,0,0,0
942025767,inf,1,0,0,0,0
943039576,inf,1,0,0,0,0
944051834,inf,1,0,0,0,0
945052928,inf,1,0,0,0,0
946066743,inf,1,0,0,0,0
947085589,inf,1,0,0,0,0
948103582,inf,1,0,0,0,0
949119573,inf,1,0,0,0,0
950137602,inf,1,0,0,0,0
951149015,inf,1,0,0,0,0
952166956,inf,1,0,0,0,0
953180160,inf,1,0,0,0,0
954199993,inf,1,0,0,0,0
955220559,inf,1,0,0,0,0
956237577,inf,1,0,0,0,0
957257646,inf,1,0,0,0,0
958270516,inf,1,0,0,0,0
959283647,inf,1,0,0,0,0
960295762,inf,1,0,0,0,0
961312561,inf,1,0,0,0,0
962324561,inf,1,0,0,0,0
