timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1412259003,20000.0,1.0,1950.386,0.0,61461,0,65.87793,15894,165,0,0,0,0.010381276,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1413276693,20000.0,1.0,1961.797,0.0,61510,0,39.95513,15896,165,0,0,0,0.01037997,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1414255941,20000.0,1.0,1960.3206,0.0,61551,0,39.925064,15898,165,0,0,0,0.010378664,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1415254882,20000.0,1.0,1807.0306,0.0,61596,0,39.8903,15900,165,0,0,0,0.010377359,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1416246040,20000.0,1.0,1961.364,0.0,61636,0,39.946312,15902,165,0,0,0,0.010376053,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1417260727,20000.0,1.0,1835.3063,0.0,61684,0,39.984886,15904,165,0,0,0,0.010374748,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1418275482,20000.0,1.0,1960.8,0.0,61727,0,39.934826,15906,165,0,0,0,0.010373444,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1419255241,20000.0,1.0,1769.7825,0.0,61771,0,39.949944,15908,165,0,0,0,0.0103721395,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1420245996,20000.0,1.0,2009.9406,0.0,61812,0,39.6438,15910,165,0,0,0,0.010370836,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1421256503,20000.0,1.0,1768.885,0.0,61861,0,39.929684,15913,165,0,0,0,0.010368881,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
