timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
35689118,0.5036963,-0.01637012,-0.0056345575,0.8637074,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35734261,0.5036639,-0.016383633,-0.005635144,0.863726,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35789343,0.50364995,-0.016378064,-0.0056445366,0.86373407,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35839457,0.50362945,-0.016374351,-0.0056491485,0.86374617,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35884558,0.5036069,-0.016370367,-0.005650531,0.86375934,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35939682,0.50357485,-0.016381286,-0.005642467,0.8637778,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35989795,0.5035542,-0.016383588,-0.005649275,0.86378974,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36034896,0.50353795,-0.016373014,-0.005647927,0.8637996,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36085011,0.5035128,-0.01637539,-0.0056464802,0.86381423,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36140134,0.5034851,-0.016372072,-0.005649484,0.8638303,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36185236,0.50345856,-0.016363854,-0.0056611653,0.86384594,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36235350,0.5034259,-0.016364492,-0.005665916,0.8638649,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36290508,0.5033888,-0.01635408,-0.0056520524,0.8638868,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36340586,0.5033578,-0.016356383,-0.0056619463,0.8639047,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36385687,0.5033281,-0.016348822,-0.0056719775,0.8639221,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36435800,0.5033049,-0.016365085,-0.005690971,0.8639352,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36490926,0.50327635,-0.016345626,-0.005716463,0.86395204,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36536072,0.5032416,-0.016357385,-0.00572017,0.86397207,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36586140,0.50321555,-0.016358823,-0.0057113413,0.8639872,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36641263,0.5031833,-0.016368318,-0.005703516,0.8640058,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36686365,0.5031591,-0.016372822,-0.005690034,0.86402005,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36736478,0.50312716,-0.01636931,-0.0057069343,0.8640385,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36786648,0.5030928,-0.016352957,-0.0057115555,0.86405873,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36836700,0.5030778,-0.016361043,-0.0057114754,0.8640673,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36886818,0.5030519,-0.016354378,-0.0057064225,0.8640826,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36936930,0.5030312,-0.016353495,-0.005703824,0.86409473,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
36987043,0.5030054,-0.016351756,-0.0057092546,0.86410975,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37037155,0.5029921,-0.016362818,-0.0057216906,0.86411715,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37087268,0.5029762,-0.016355382,-0.0057279514,0.86412656,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37137381,0.50295573,-0.016358454,-0.005731603,0.8641384,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37187494,0.50293535,-0.01636352,-0.0057301787,0.8641501,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37237607,0.5029114,-0.016373063,-0.005714446,0.864164,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37287719,0.5028844,-0.016380273,-0.0057064523,0.8641797,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37337833,0.5028407,-0.016380414,-0.005697555,0.8642052,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37387950,0.502812,-0.01638223,-0.0057084872,0.86422175,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37438059,0.50279,-0.016377138,-0.005718757,0.8642346,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37488171,0.5027689,-0.016372964,-0.0057121315,0.8642469,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37538285,0.50273186,-0.016371176,-0.005707136,0.8642686,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37588397,0.5026993,-0.016374556,-0.005698667,0.8642875,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37638510,0.50267434,-0.016369192,-0.0057060034,0.86430216,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37688623,0.5026571,-0.016349029,-0.005708774,0.86431235,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37738738,0.5026375,-0.016342573,-0.0057164356,0.8643239,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37788849,0.50261974,-0.016335096,-0.0057350146,0.8643343,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37833998,0.5026012,-0.016332835,-0.005718463,0.86434525,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37889071,0.502586,-0.01633946,-0.005715935,0.8643539,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37939188,0.50257134,-0.016344037,-0.0057094553,0.86436236,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
37984290,0.50255865,-0.016356923,-0.0057123606,0.8643696,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
38034402,0.50253475,-0.016358113,-0.0057198843,0.86438334,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
38089527,0.5030492,-0.01636835,-0.0057184203,0.8640838,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38139640,0.50287753,-0.016362019,-0.0057111788,0.86418396,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38184743,0.50266236,-0.016353607,-0.005725305,0.8643092,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38239866,0.50245035,-0.01633694,-0.0057192394,0.86443275,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38289978,0.50232923,-0.016336806,-0.005717733,0.8645033,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38335080,0.5022597,-0.016333055,-0.005712674,0.8645437,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38390204,0.50216454,-0.016336227,-0.005713768,0.864599,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38440360,0.5021582,-0.016339397,-0.0057067913,0.8646026,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38485420,0.5021308,-0.01635047,-0.005704004,0.8646183,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38535532,0.502133,-0.016346732,-0.0056902547,0.8646172,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38590657,0.5021468,-0.016331548,-0.0056810183,0.86460954,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38635759,0.5021217,-0.016324956,-0.0056811757,0.8646243,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38685873,0.5021109,-0.016328214,-0.0056744986,0.8646306,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38740995,0.50206023,-0.016327567,-0.005663889,0.86466,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
38786098,0.50202256,-0.016315708,-0.005654261,0.86468214,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
