timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
34488213,34487601,-0.2260945,-0.0022873841,0.112506606,0.9675837,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34538140,34537552,-0.2260885,-0.0019431347,0.112467125,0.9675906,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34588088,34587504,-0.22595389,-0.001745949,0.11229577,0.9676423,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34638051,34637456,-0.22597733,-0.0017692558,0.112461776,0.9676174,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34687999,34687407,-0.22577749,-0.0018631418,0.112491906,0.9676604,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34737953,34737359,-0.22577941,-0.0016166323,0.11250632,0.9676587,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34787905,34787310,-0.22560649,-0.00144724,0.112626225,0.96768546,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34837854,34837262,-0.2255633,-0.0015449526,0.112650745,0.96769243,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34887795,34887213,-0.22537543,-0.0012701893,0.1126308,0.967739,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34937763,34937166,-0.22529736,-0.0009560855,0.112487115,0.9677742,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34987718,34987117,-0.22521533,-0.000803494,0.112466864,0.9677958,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35037701,35037068,-0.22510913,-0.00080046826,0.112668306,0.9677971,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35092620,35092015,-0.2250525,-0.0007108735,0.11264912,0.9678125,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35137569,35136972,-0.22494861,-0.0006342825,0.112606876,0.9678417,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35187517,35186923,-0.22485164,-0.00038503346,0.1126033,0.9678647,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35237476,35236875,-0.22474322,-0.000322201,0.112647556,0.96788484,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35287442,35286826,-0.22470567,-0.00027721527,0.11247456,0.9679137,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35337386,35336778,-0.22458462,-4.546587e-05,0.11252537,0.96793586,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35387321,35386730,-0.22449209,-5.4257845e-05,0.11267636,0.96793973,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35442262,35441676,-0.22425073,0.00020692775,0.11271893,0.9679907,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35487233,35486632,-0.22419822,5.879179e-06,0.11300035,0.9679701,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35537194,35536584,-0.2240731,-0.00081226643,0.1137569,0.9679101,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35587134,35586541,-0.22391963,-0.0013743748,0.11442008,0.96786684,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35642080,35641483,-0.2239153,-0.0019936436,0.115211554,0.9677729,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35687028,35686439,-0.22378907,-0.0022337062,0.115558326,0.9677602,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35737049,35736391,-0.2236216,-0.0022216905,0.115636185,0.9677896,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35791924,35791337,-0.2234118,-0.0021047199,0.11589111,0.9678078,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35836883,35836293,-0.22312595,-0.0017756348,0.115857,0.9678786,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35886830,35886245,-0.22291796,-0.0016439026,0.11585076,0.96792746,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35936781,35936197,-0.2227348,-0.0010779139,0.1158054,0.9679758,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
35991758,35991149,-0.22234987,-0.00033788345,0.1154895,0.96810263,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36036691,36036100,-0.22209893,0.00031044512,0.115286216,0.9681844,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36086659,36086052,-0.22190213,0.0013559895,0.11448243,0.96832407,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36141595,36140998,-0.22151999,0.002973644,0.11391818,0.9684745,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36191549,36190949,-0.22117978,0.005069363,0.11265299,0.96869147,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36236501,36235909,-0.22097138,0.008339882,0.11036105,0.96898025,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36286488,36285869,-0.22090739,0.011182664,0.10884651,0.9691374,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36341398,36340805,-0.22046599,0.015026457,0.10619444,0.96948016,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36386403,36385760,-0.22034135,0.017850481,0.104568474,0.9696374,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36436303,36435712,-0.22034898,0.019922698,0.10390658,0.9696664,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36491250,36490658,-0.21993163,0.02177111,0.103590615,0.96975523,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36541199,36540610,-0.21929605,0.022941237,0.1031209,0.9699222,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36586279,36585566,-0.2190472,0.023951275,0.10342807,0.9699213,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36636129,36635518,-0.21810023,0.026154008,0.10346764,0.97007364,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36691062,36690465,-0.21686561,0.028536987,0.10319812,0.9703119,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36741017,36740416,-0.2152428,0.030632168,0.10338741,0.9705891,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36786088,36785372,-0.21412773,0.030974511,0.10512885,0.9706379,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36840921,36840323,-0.21107289,0.0347922,0.10524227,0.9711652,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36890857,36890271,-0.20689902,0.03810038,0.10732187,0.9717115,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36940805,36940222,-0.20073718,0.042515952,0.10903697,0.9726294,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
36985807,36985179,-0.195459,0.046228737,0.11134846,0.973273,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37040797,37040125,-0.18737045,0.05066909,0.11601999,0.97409666,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37090665,37090077,-0.17737496,0.05684898,0.11997199,0.9751478,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37135645,37135033,-0.16741788,0.057726156,0.1242371,0.97632176,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37190575,37189980,-0.15397602,0.05432909,0.124930985,0.9786378,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37240550,37239932,-0.13969994,0.04917483,0.12430875,0.9811285,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37290493,37289883,-0.12591067,0.047867645,0.12490577,0.9829821,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37335438,37334839,-0.11718705,0.05108083,0.12610677,0.9837454,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37390367,37389786,-0.10527554,0.056056198,0.12712704,0.9846896,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37440328,37439738,-0.096179076,0.05841206,0.12672064,0.98553514,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37490271,37489689,-0.09102537,0.057758126,0.12614161,0.98613733,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37540227,37539641,-0.08914386,0.056265924,0.12780492,0.9861813,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37590245,37589593,-0.09095372,0.055242073,0.12768108,0.98608994,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37640185,37639544,-0.091976084,0.05652895,0.125375,0.98621804,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37685129,37684500,-0.09265857,0.05687533,0.12448806,0.9862466,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37740039,37739447,-0.09264035,0.05611517,0.12394797,0.9863599,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37789998,37789412,-0.09282735,0.056027856,0.1236251,0.9863877,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37839954,37839350,-0.093151264,0.055293173,0.12301941,0.9864744,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37889899,37889301,-0.0932056,0.05522269,0.12187189,0.9866157,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37939837,37939253,-0.09388149,0.055081356,0.12131789,0.98662776,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
37989800,37989208,-0.0939358,0.054581378,0.12056774,0.9867424,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38039753,38039156,-0.09439791,0.05347203,0.1206386,0.98675025,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38089696,38089107,-0.09442332,0.05252235,0.12085183,0.98677284,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38139658,38139060,-0.09452,0.051930495,0.120787345,0.98680276,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38189599,38189010,-0.09468423,0.05077423,0.121415675,0.9867701,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38239561,38238964,-0.09450699,0.049201135,0.12253892,0.98672795,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38289504,38288913,-0.094490595,0.047805034,0.12360151,0.98666555,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38339466,38338865,-0.0945652,0.046494782,0.12445354,0.98661387,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
