timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
175125330,0,800000.0,0.05,0.0,0.0,0.85577834,0,0,0,0,4,5,0,0,0,1,44
175568743,174555320,1200.0,0.40324232,0.050595235,0.58035713,0.0,255,190,6,4,1,0,1,1,0,1,36
175608823,175603035,1200.0,0.40324232,0.050595235,0.58035713,0.0,255,190,6,4,1,0,1,1,0,1,36
176127747,0,800000.0,0.05,0.0,0.0,0.7062745,0,0,0,0,4,5,0,0,0,1,44
176523823,176522489,1200.0,0.40324232,0.05050945,0.50707525,0.0,255,190,6,4,1,0,1,1,0,1,36
177129713,0,800000.0,0.05,0.0,0.0,0.7096155,0,0,0,0,4,5,0,0,0,1,44
177526049,176522489,1200.0,0.40324232,0.05067703,0.56440306,0.0,255,190,6,4,1,0,1,1,0,1,36
177556106,177549572,1200.0,0.40324232,0.05067703,0.56440306,0.0,255,190,6,4,1,0,1,1,0,1,36
178133174,0,800000.0,0.05,0.0,0.0,0.8129821,0,0,0,0,4,5,0,0,0,1,44
178561829,177549572,1200.0,0.40324232,0.05064563,0.5163868,0.0,255,190,6,4,1,0,1,1,0,1,36
178603758,178595549,1200.0,0.40324232,0.05064563,0.5163868,0.0,255,190,6,4,1,0,1,1,0,1,36
179136628,0,800000.0,0.05,0.0,0.0,0.7992241,0,0,0,0,4,5,0,0,0,1,44
179526618,179521545,1200.0,0.40324232,0.050848924,0.47458997,0.0,255,190,6,4,1,0,1,1,0,1,36
180137675,0,800000.0,0.05,0.0,0.0,0.7506287,0,0,0,0,4,5,0,0,0,1,44
