timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
682452520,1.2444266,-0.9619154,-0.74465907
682475423,1.2444178,-0.9621709,-0.74410486
682499420,1.2437062,-0.9621709,-0.7441162
682521603,1.2437108,-0.9621613,-0.74439734
682544510,1.2437062,-0.9621709,-0.7441162
682567235,1.2429991,-0.9621613,-0.74440867
682591129,1.2437106,-0.96192497,-0.7443893
682612009,1.2444266,-0.9619154,-0.74465907
682632638,1.2444311,-0.9619058,-0.7449402
682655880,1.2437106,-0.96192497,-0.7443893
682677573,1.243715,-0.9619154,-0.7446704
682700144,1.2444223,-0.9621613,-0.744386
682721532,1.2436974,-0.9624264,-0.7435619
682743811,1.2437061,-0.96193457,-0.74410814
682765527,1.2444178,-0.9621709,-0.74410486
682788128,1.242999,-0.96192497,-0.7444006
682809555,1.2444266,-0.9619154,-0.74465907
682830487,1.2444222,-0.96192497,-0.7443779
682853558,1.2437108,-0.9621613,-0.74439734
682876183,1.2437108,-0.9621613,-0.74439734
682898472,1.2429947,-0.96240723,-0.7441356
682921597,1.2444133,-0.9621805,-0.74382365
682942520,1.2444266,-0.9619154,-0.74465907
682963596,1.2444266,-0.9619154,-0.74465907
682986468,1.2444355,-0.9618962,-0.7452213
683008620,1.2429944,-0.96193457,-0.74411947
683030477,1.2437017,-0.9621805,-0.74383503
683052916,1.2430035,-0.9621517,-0.7446898
683074484,1.24299,-0.9621805,-0.74384636
683097359,1.2437106,-0.96192497,-0.7443893
683118470,1.2444177,-0.96193457,-0.7440968
683140920,1.2437062,-0.9621709,-0.7441162
683162469,1.2437106,-0.96192497,-0.7443893
683184613,1.2437106,-0.96192497,-0.7443893
683208602,1.2437061,-0.96193457,-0.74410814
683232619,1.2437106,-0.96192497,-0.7443893
683255574,1.2437152,-0.9621517,-0.7446785
683276570,1.2437062,-0.9621709,-0.7441162
683300513,1.2437108,-0.9621613,-0.74439734
683322476,1.2444222,-0.96192497,-0.7443779
683345944,1.2444177,-0.96193457,-0.7440968
683367587,1.2444177,-0.96193457,-0.7440968
683389799,1.2437106,-0.96192497,-0.7443893
683411580,1.2437061,-0.96193457,-0.74410814
683433805,1.2437152,-0.9621517,-0.7446785
683458493,1.2437152,-0.9621517,-0.7446785
683483391,1.2436974,-0.9624264,-0.7435619
683505536,1.2444178,-0.9621709,-0.74410486
683529527,1.24299,-0.9621805,-0.74384636
683553550,1.2444178,-0.9621709,-0.74410486
683577604,1.2437062,-0.9621709,-0.7441162
683601553,1.2444178,-0.9621709,-0.74410486
683625561,1.2437106,-0.96192497,-0.7443893
683649602,1.2444222,-0.96192497,-0.7443779
683673548,1.2444266,-0.9619154,-0.74465907
683700452,1.2444222,-0.96192497,-0.7443779
683721550,1.2444222,-0.96192497,-0.7443779
683744476,1.2444131,-0.96194416,-0.7438156
683765556,1.2437016,-0.96194416,-0.7438269
683788511,1.2437061,-0.96193457,-0.74410814
683810468,1.2429945,-0.9621709,-0.7441276
683833563,1.2437062,-0.9621709,-0.7441162
683855995,1.2437017,-0.9621805,-0.74383503
683879862,1.2444178,-0.9621709,-0.74410486
683903820,1.2437061,-0.96193457,-0.74410814
683925528,1.2444223,-0.9621613,-0.744386
683948209,1.2437106,-0.96192497,-0.7443893
683969549,1.2437106,-0.96192497,-0.7443893
683991840,1.243715,-0.9619154,-0.7446704
684013551,1.2437152,-0.9621517,-0.7446785
684036189,1.24299,-0.9621805,-0.74384636
684057550,1.2444178,-0.9621709,-0.74410486
684079800,1.2437061,-0.96193457,-0.74410814
684102468,1.2444222,-0.96192497,-0.7443779
684124919,1.2444222,-0.96192497,-0.7443779
684147530,1.243715,-0.9619154,-0.7446704
684170529,1.2437061,-0.96193457,-0.74410814
684191573,1.2437106,-0.96192497,-0.7443893
684212963,1.2429945,-0.9621709,-0.7441276
684233597,1.2444133,-0.9621805,-0.74382365
684254521,1.2444223,-0.9621613,-0.744386
684275575,1.2437108,-0.9621613,-0.74439734
684298468,1.2437106,-0.96192497,-0.7443893
684320599,1.2437108,-0.9621613,-0.74439734
684342476,1.2437108,-0.9621613,-0.74439734
684365612,1.2437062,-0.9621709,-0.7441162
684387539,1.2437062,-0.9621709,-0.7441162
684411530,1.2444222,-0.96192497,-0.7443779
684431528,1.2444222,-0.96192497,-0.7443779
684453730,1.243715,-0.9619154,-0.7446704
684476520,1.2444266,-0.9619154,-0.74465907
684499531,1.2444177,-0.96193457,-0.7440968
684521557,1.2444222,-0.96192497,-0.7443779
684545726,1.2429991,-0.9621613,-0.74440867
684569565,1.2437062,-0.9621709,-0.7441162
684590475,1.2437017,-0.9621805,-0.74383503
684612524,1.2444222,-0.96192497,-0.7443779
684634472,1.2437106,-0.96192497,-0.7443893
684657547,1.2444178,-0.9621709,-0.74410486
684681534,1.2444177,-0.96193457,-0.7440968
684702469,1.2444266,-0.9619154,-0.74465907
684723541,1.2437152,-0.9621517,-0.7446785
684745900,1.2429947,-0.96240723,-0.7441356
684769796,1.2437063,-0.96240723,-0.7441243
684792517,1.2429945,-0.9621709,-0.7441276
684814531,1.2444131,-0.96194416,-0.7438156
684838484,1.2444177,-0.96193457,-0.7440968
684862488,1.2437062,-0.9621709,-0.7441162
684885943,1.2437106,-0.96192497,-0.7443893
684908569,1.2429944,-0.96193457,-0.74411947
684931530,1.2437061,-0.96193457,-0.74410814
684953810,1.2437061,-0.96193457,-0.74410814
684976524,1.2430034,-0.9619154,-0.7446818
684998468,1.2429945,-0.9621709,-0.7441276
685021863,1.2437197,-0.9621421,-0.7449596
685043365,1.2444177,-0.96193457,-0.7440968
685063576,1.2444266,-0.9619154,-0.74465907
685086993,1.2437106,-0.96192497,-0.7443893
685110980,1.2444177,-0.96193457,-0.7440968
685132468,1.2437106,-0.96192497,-0.7443893
685155433,1.2437196,-0.9619058,-0.74495155
685176523,1.2437017,-0.9621805,-0.74383503
685198987,1.2429812,-0.962436,-0.7432921
685222975,1.2437018,-0.9624168,-0.7438431
685245549,1.2444088,-0.9621901,-0.74354255
685268590,1.2444177,-0.96193457,-0.7440968
685289603,1.2444177,-0.96193457,-0.7440968
685313565,1.2429944,-0.96193457,-0.74411947
685337611,1.2444266,-0.9619154,-0.74465907
685359965,1.2444311,-0.9619058,-0.7449402
685381606,1.2444222,-0.96192497,-0.7443779
685404332,1.2444178,-0.9621709,-0.74410486
685425582,1.2422787,-0.9624168,-0.7438657
685447862,1.2437062,-0.9621709,-0.7441162
685471814,1.2437061,-0.96193457,-0.74410814
685496074,1.2444177,-0.96193457,-0.7440968
685519800,1.2444266,-0.9619154,-0.74465907
685541551,1.2444222,-0.96192497,-0.7443779
685564226,1.2444131,-0.96194416,-0.7438156
685585557,1.243715,-0.9619154,-0.7446704
685607805,1.2437061,-0.96193457,-0.74410814
685629557,1.2444179,-0.96240723,-0.7441129
685651539,1.2437062,-0.9621709,-0.7441162
685674468,1.2437061,-0.96193457,-0.74410814
685696638,1.2444177,-0.96193457,-0.7440968
685720627,1.2444177,-0.96193457,-0.7440968
685744766,1.2444177,-0.96193457,-0.7440968
685768790,1.2437061,-0.96193457,-0.74410814
685790484,1.2437106,-0.96192497,-0.7443893
685812926,1.2444266,-0.9619154,-0.74465907
685834489,1.2437197,-0.9621421,-0.7449596
685856607,1.2437108,-0.9621613,-0.74439734
685878482,1.2444133,-0.9621805,-0.74382365
685900920,1.2437106,-0.96192497,-0.7443893
685922481,1.2444177,-0.96193457,-0.7440968
685944599,1.2444222,-0.96192497,-0.7443779
685966484,1.2444266,-0.9619154,-0.74465907
685987539,1.2437062,-0.9621709,-0.7441162
686009811,1.2429991,-0.9621613,-0.74440867
686031532,1.2437062,-0.9621709,-0.7441162
686054476,1.2444223,-0.9621613,-0.744386
686078488,1.245138,-0.9619154,-0.74464774
686101856,1.243715,-0.9619154,-0.7446704
686122539,1.2437061,-0.96193457,-0.74410814
686143580,1.2444131,-0.96194416,-0.7438156
686165934,1.2444222,-0.96192497,-0.7443779
686187534,1.2437108,-0.9621613,-0.74439734
686209529,1.24299,-0.9621805,-0.74384636
686231547,1.24299,-0.9621805,-0.74384636
686254997,1.2444222,-0.96192497,-0.7443779
686276529,1.2437061,-0.96193457,-0.74410814
686299386,1.2444177,-0.96193457,-0.7440968
686320472,1.2444177,-0.96193457,-0.7440968
686342991,1.2444266,-0.9619154,-0.74465907
686365549,1.2429991,-0.9621613,-0.74440867
686388541,1.2437108,-0.9621613,-0.74439734
686411770,1.2437152,-0.9621517,-0.7446785
686433610,1.2437062,-0.9621709,-0.7441162
686457564,1.2437016,-0.96194416,-0.7438269
686481606,1.2436973,-0.9621901,-0.7435539
686505564,1.2444266,-0.9619154,-0.74465907
686528592,1.2444266,-0.9619154,-0.74465907
686551832,1.2444177,-0.96193457,-0.7440968
686573527,1.2437196,-0.9619058,-0.74495155
686596237,1.2444222,-0.96192497,-0.7443779
686618476,1.2437062,-0.9621709,-0.7441162
686642474,1.2437106,-0.96192497,-0.7443893
686664513,1.2436929,-0.962436,-0.74328077
686688525,1.2444133,-0.9621805,-0.74382365
686711793,1.2429991,-0.9621613,-0.74440867
686735860,1.2444223,-0.9621613,-0.744386
686759800,1.2444131,-0.96194416,-0.7438156
686781609,1.2444177,-0.96193457,-0.7440968
686804133,1.2437017,-0.9621805,-0.74383503
